Title;Authors;Year;Evaluation metrics;FM category;FM-metric mapping
Localized Calibrated Uncertainty in Code Language Models;David Gros, P. Devanbu;2025;Calibration error, Brier Skill Score (approx 0.2);Hallucinations and False Positives, Localization Failure, Overconfidence and Calibration Failure, Operational and Deployment Limits;"Localization Failure: Brier Skill Score
Overconfidence and Calibration Failure: Calibration Error, Brier Skill Score"
Impact of an LLM-based Review Assistant in Practice: A Mixed Open-/Closed-source Case Study;Doriane Olewicki, Leuson Da Silva, Oussama Ben Sghaier, Suhaib Mujahid, Arezou Amini, Benjamin Mah, Marco Castelluccio, Sarra Habchi, Foutse Khomh, Bram Adams;2026;"- Fisher's statistical test
- Cohen's d score
- Revised line ratio
- Revised chunk ratio
- Thread initiation ratio
- Cohen's kappa score";"- Reasoning and Logic Blindness
- Context Integration Failure
- Hallucinations and False Positives
- Technical Output Failure
- Operational and Deployment Limits
- Overconfidence and Calibration Failure";"Hallucinations and False Positives: False Positives, Precision
Context Integration Failure: qualitative only
Technical Output Failure: Acceptance Ratio, Appreciation Ratio
Prompt Injection and Untrusted Input Manipulation: No clear FM-metric mapping reported
Transformation Sensitivity: No clear FM-metric mapping reported
Attention Hijacking and Poisoning: No clear FM-metric mapping reported
Overconfidence and Calibration Failure: qualitative only
Weak Explainability: qualitative only
Training Data and Representation Bias: No clear FM-metric mapping reported
Benchmark Contamination (Real-World Gap): No clear FM-metric mapping reported
Complex Vulnerability Blind Spots: No clear FM-metric mapping reported
Secret Detection Blind Spots: No clear FM-metric mapping reported
Operational and Deployment Limits: Median Time Spent on Evaluation
Information and Secret Leakage in Model Outputs: No clear FM-metric mapping reported"
Persistent Human Feedback, LLMs, and Static Analyzers for Secure Code Generation and Vulnerability Detection;Ehsan Firouzi, Mohammad Ghafari;2026;No explicit evaluation metrics reported (the abstract discusses percentages of correct classifications and discrepancies but does not mention specific metrics like Precision, Recall, F1, etc.);Technical Output Failure, Hallucinations and False Positives, Weak Explainability, Overconfidence and Calibration Failure;"Hallucinations and False Positives: Correctness of Reports
False-Positive Secret Detection: Correctness of Reports
No clear FM-metric mapping reported for other failure modes"
Nurturing Code Quality: Leveraging Static Analysis and Large Language Models for Software Quality in Education;Eman Abdullah AlOmar;2025;No explicit evaluation metrics reported. The study focuses on qualitative outcomes and the effectiveness of PMD and ChatGPT in educational contexts, without mentioning traditional evaluation metrics like Precision, Recall, F1, or Accuracy.;"- Hallucinations and False Positives
- Context Integration Failure
- Technical Output Failure
- Localization Failure
- Weak Explainability";"Hallucinations and False Positives: False Positives
Context Integration Failure: qualitative only
Technical Output Failure: Compiler Errors
Overconfidence and Calibration Failure: qualitative only
Weak Explainability: qualitative only
Training Data and Representation Bias: qualitative only
Operational and Deployment Limits: qualitative only"
From Vulnerabilities to Remediation: A Systematic Literature Review of LLMs in Code Security;Enna Bašić, A. Giaretta;2024;No explicit evaluation metrics reported.;"- Technical Output Failure
- Hallucinations and False Positives
- Attention Hijacking and Poisoning
- Complex Vulnerability Blind Spots";"Technical Output Failure: qualitative only
Hallucinations and False Positives: qualitative only
False-Positive Secret Detection: qualitative only
Localization Failure: qualitative only
Complex Vulnerability Blind Spots: qualitative only
Transformation Sensitivity: qualitative only
Prompt Injection and Untrusted Input Manipulation: qualitative only
Attention Hijacking and Poisoning: qualitative only"
DR.FIX: Automatically Fixing Data Races at Industry Scale;Farnaz Behrang, Zhizhou Zhang, Georgian-Vlad Saioc, Peng Liu, Milind Chabbi;2025;"- Proportion of data races for which patches were produced: 55%
- Proportion of patches accepted by developers: 86%";Complex Vulnerability Blind Spots, Operational and Deployment Limits;No clear FM-metric mapping reported
LLM-based Vulnerability Detection at Project Scale: An Empirical Study;Fengjie Li, Jiajun Jiang, Dong Chen, Ying Xiong;2026;"- Recall (vulnerability detection)
- False Discovery Rate (practical usability)
- Computational Costs (scalability)";"- Hallucinations and False Positives
- False-Positive Secret Detection
- Context Integration Failure
- Operational and Deployment Limits
- Technical Output Failure
- Weak Explainability";"Reasoning and Logic Blindness: Detection Capability, Practical Usability
Context Integration Failure: Detection Capability, Practical Usability
Localization Failure: Recall
Hallucinations and False Positives: False Discovery Rates
Operational and Deployment Limits: Computational Costs"
"Large Language Models for In-File Vulnerability Localization Can Be ""Lost in the End""";Francesco Sovrano, Adam Bauer, Alberto Bacchelli;;"- Precision
- Recall
- Accuracy
- F1 score
- Top-1 accuracy (for multi-line vulnerabilities)
- Recall improvement
- Precision changes (due to chunking)";Localization Failure, Context Integration Failure, Technical Output Failure, Complex Vulnerability Blind Spots, Operational and Deployment Limits;"Localization Failure: Accuracy, F1 score, Precision, Recall
Hallucinations and False Positives: Accuracy, F1 score, Precision, Recall
Context Integration Failure: Accuracy, F1 score, Precision, Recall
Operational and Deployment Limits: Recall improvement with chunking"
Helping LLMs Improve Code Generation Using Feedback from Testing and Static Analysis;Greta Dolcetti, Vincenzo Arceri, Eleonora Iotti, S. Maffeis, Agostino Cortesi, E. Zaffanella;2024;No explicit evaluation metrics reported (evaluation context includes correctness assessment using ground-truth tests, vulnerability detection using static analysis, and code repair ability);Technical Output Failure, Complex Vulnerability Blind Spots, Reasoning and Logic Blindness;"Technical Output Failure: ground-truth tests, static analysis tool
Hallucinations and False Positives: qualitative only
Overconfidence and Calibration Failure: qualitative only"
Uncovering Systematic Failures of LLMs in Verifying Code Against Natural Language Specifications;Haolin Jin, Huaming Chen;2025;No explicit evaluation metrics reported.;Reasoning and Logic Blindness, Hallucinations and False Positives, Transformation Sensitivity, Overconfidence and Calibration Failure, Operational and Deployment Limits;"Reasoning and Logic Blindness: qualitative only
Hallucinations and False Positives: qualitative only
Prompt Injection and Untrusted Input Manipulation: qualitative only
Weak Explainability: qualitative only"
Uncovering Systematic Failures of LLMs in Verifying Code Against Natural Language Specifications;Haolin Jin, Huaming Chen;2025;Requirement-Conformance Recognition Rate (RCRR);Reasoning and Logic Blindness, Hallucinations and False Positives, Overconfidence and Calibration Failure, Weak Explainability, Operational and Deployment Limits;"Hallucinations and False Positives: False Negative Rate
Overconfidence and Calibration Failure: Over-correction bias
Weak Explainability: qualitative only
Training Data and Representation Bias: qualitative only
Prompt Injection and Untrusted Input Manipulation: qualitative only"
CodeReviewQA: The Code Review Comprehension Assessment for Large Language Models;Hong Yi Lin, Chunhua Liu, Haoyu Gao, Patanamon Thongtanunam, Christoph Treude;2025;No explicit evaluation metrics reported. The abstract introduces CodeReviewQA as a novel evaluation benchmark that decomposes code refinement into change type recognition, change localization, and solution identification, but does not specify traditional metrics like Precision or Recall.;Context Integration Failure, Reasoning and Logic Blindness, Benchmark Contamination (Real-World Gap), Technical Output Failure;"Context Integration Failure: qualitative only
Localization Failure: change localisation (CL)
Technical Output Failure: change type recognition (CTR), solution identification (SI)"
CodeLMSec Benchmark: Systematically Evaluating and Finding Security Vulnerabilities in Black-Box Code Language Models;Hossein Hajipour, Thorsten Holz, Lea Schonherr, Mario Fritz;2023;"- Percentage of vulnerable codes generated by each model
- Total number of vulnerable codes found
- Quality and quantity of vulnerable codes generated by different few-shot prompting approaches (FS-Code, FS-Prompt, OS-Prompt)";"- Training Data and Representation Bias
- Complex Vulnerability Blind Spots
- Prompt Injection and Untrusted Input Manipulation
- Technical Output Failure
- Benchmark Contamination (Real-World Gap)";"Technical Output Failure: CodeQL vulnerability detection
Prompt Injection and Untrusted Input Manipulation: Transferability of non-secure prompts
Complex Vulnerability Blind Spots: Non-secure prompts dataset for benchmarking"
Safe4U: Identifying Unsound Safe Encapsulations of Unsafe Calls in Rust using LLMs;Huan Li, Bei Wang, Xing Hu, Xin Xia;2025;Accuracy (Acc), Recall (Rec), Precision (Prec), F1-score (F1), Success Rate (Succ);"- Hallucinations and False Positives
- Context Integration Failure
- Reasoning and Logic Blindness
- Overconfidence and Calibration Failure
- Weak Explainability";"Reasoning and Logic Blindness: qualitative only
Context Integration Failure: qualitative only
Hallucinations and False Positives: Precision
Localization Failure: Recall, Precision
Technical Output Failure: qualitative only
Weak Explainability: qualitative only
Complex Vulnerability Blind Spots: qualitative only"
Combining Large Language Models with Static Analyzers for Code Review Generation;Imen Jaoua, Oussama Ben Sghaier, Houari Sahraoui;2025;"- Accuracy (manual evaluation of accuracy)
- Coverage (ranking of reviews based on issue detection)
- Win-tie-loss ratios (comparing performance of hybrid strategies against baseline models)
- LLM-as-a-judge (evaluating accuracy of generated reviews)";"- Hallucinations and False Positives
- Context Integration Failure
- Technical Output Failure
- Overconfidence and Calibration Failure
- Weak Explainability";"Context Integration Failure: Accuracy, Coverage
Hallucinations and False Positives: Accuracy
Technical Output Failure: Accuracy, Coverage"
Is Your AI-Generated Code Really Safe? Evaluating Large Language Models on Secure Code Generation with CodeSecEval;Jiexin Wang, Xitong Luo, Liuwen Cao, Hongkui He, Hailin Huang, Jiayuan Xie, Adam Jatowt, Yi Cai;2024;Pass@k (code generation and code repair);"- Complex Vulnerability Blind Spots
- Operational and Deployment Limits
- Weak Explainability
- Training Data and Representation Bias
- Prompt Injection and Untrusted Input Manipulation
- Benchmark Contamination (Real-World Gap)";"Technical Output Failure: Pass@k
Complex Vulnerability Blind Spots: Pass@k
Weak Explainability: qualitative only
Training Data and Representation Bias: qualitative only
Operational and Deployment Limits: qualitative only"
Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection;Kai Greshake, Sahar Abdelnabi, Shailesh Mishra, C. Endres, Thorsten Holz, Mario Fritz;2023;No explicit evaluation metrics reported. The paper discusses qualitative observations and challenges in quantifying success rates but does not provide specific evaluation metrics.;"- Prompt Injection and Untrusted Input Manipulation
- Attention Hijacking and Poisoning
- Operational and Deployment Limits
- Information and Secret Leakage in Model Outputs
- Complex Vulnerability Blind Spots";"Prompt Injection and Untrusted Input Manipulation: qualitative only
Technical Output Failure: qualitative only
Hallucinations and False Positives: qualitative only
Manipulated Content: qualitative only
Availability: qualitative only"
SGCR: A Specification-Grounded Framework for Trustworthy LLM Code Review;Kai Wang, Bingcheng Mao, Shuai Jia, Yujie Ding, Dongming Han, Tianyi Ma, Bin Cao;2025;Adoption Rate;Context Integration Failure, Hallucinations and False Positives, Weak Explainability;"Context Integration Failure: Adoption Rate
Hallucinations and False Positives: Adoption Rate
Overconfidence and Calibration Failure: Adoption Rate
Technical Output Failure: Adoption Rate
Prompt Injection and Untrusted Input Manipulation: Adoption Rate
Weak Explainability: qualitative only"
Harnessing Large Language Models for Software Vulnerability Detection: A Comprehensive Benchmarking Study;Karl Tamberg, Hayretdin Bahsi;2025;"- Accuracy
- Precision
- Recall
- F1 score
- True Positives (TP)
- False Positives (FP)
- True Negatives (TN)
- False Negatives (FN)
- Cost (monetary and timewise)";"- Hallucinations and False Positives
- Complex Vulnerability Blind Spots
- Operational and Deployment Limits
- Benchmark Contamination (Real-World Gap)
- Information and Secret Leakage in Model Outputs";"Reasoning and Logic Blindness: qualitative only
Context Integration Failure: qualitative only
Hallucinations and False Positives: False Positives, Precision, False Positive Rate
False-Positive Secret Detection: qualitative only
Localization Failure: qualitative only
Technical Output Failure: qualitative only
Prompt Injection and Untrusted Input Manipulation: qualitative only
Transformation Sensitivity: qualitative only
Attention Hijacking and Poisoning: qualitative only
Overconfidence and Calibration Failure: qualitative only
Weak Explainability: qualitative only
Training Data and Representation Bias: qualitative only
Benchmark Contamination (Real-World Gap): qualitative only
Complex Vulnerability Blind Spots: Recall, F1 scores
Secret Detection Blind Spots: qualitative only
Operational and Deployment Limits: Cost, Time
Information and Secret Leakage in Model Outputs: qualitative only"
Large Language Models (LLMs) and Generative AI in Cybersecurity and Privacy: A Survey of Dual-Use Risks, AI-Generated Malware, Explainability, and Defensive Strategies;Kiarash Ahi, Saeed Valizadeh;;"- Precision in identifying new attack vectors
- Interpretability of vulnerability classifications
- Robustness against adversarial attacks
- Explainability and verifiability of LLM outputs
- Privacy preservation in LLM architectures
- Ethical impact assessments
- Cross-lingual and multi-modal threat detection capabilities
- Standardized quantitative benchmarking for performance, robustness, and fairness";"- Prompt Injection and Untrusted Input Manipulation
- Attention Hijacking and Poisoning
- Information and Secret Leakage in Model Outputs
- Training Data and Representation Bias
- Operational and Deployment Limits
- Complex Vulnerability Blind Spots";"Reasoning and Logic Blindness: qualitative only
Context Integration Failure: qualitative only
Hallucinations and False Positives: qualitative only
False-Positive Secret Detection: qualitative only
Localization Failure: qualitative only
Technical Output Failure: qualitative only
Prompt Injection and Untrusted Input Manipulation: Attack Success Rate, Block Rate
Transformation Sensitivity: qualitative only
Attention Hijacking and Poisoning: qualitative only
Overconfidence and Calibration Failure: qualitative only
Weak Explainability: Explainability
Training Data and Representation Bias: Training Data Integrity
Benchmark Contamination (Real-World Gap): qualitative only
Complex Vulnerability Blind Spots: qualitative only
Secret Detection Blind Spots: qualitative only
Operational and Deployment Limits: Secure Deployment and Monitoring
Information and Secret Leakage in Model Outputs: Model Confidentiality"
Integrating RAG and LLM for Automated Code Review in Practice;Liangchen Yang, Yi Chen;2025;"- Adoption Rate: Measures whether developers adopt and act upon review comments.
- Precision: Used to evaluate the effectiveness of the comment filtering module.";Context Integration Failure, Hallucinations and False Positives, Training Data and Representation Bias, Operational and Deployment Limits;"Reasoning and Logic Blindness: Precision
Hallucinations and False Positives: Precision
Context Integration Failure: qualitative only
Localization Failure: qualitative only
Technical Output Failure: qualitative only
Weak Explainability: qualitative only
Prompt Injection and Untrusted Input Manipulation: No clear FM-metric mapping reported
Transformation Sensitivity: No clear FM-metric mapping reported
Information and Secret Leakage in Model Outputs: No clear FM-metric mapping reported"
A Qualitative Study on Using ChatGPT for Software Security: Perception vs. Practicality;M. Mehdi Kholoosi, M. Ali Babar, Roland Croft;2024;"- Accuracy: 61.42% (vulnerability detection)
- Qualitative issues: Generic security information, lack of assertiveness in responses";Technical Output Failure, Weak Explainability, Overconfidence and Calibration Failure, Complex Vulnerability Blind Spots;"Reasoning and Logic Blindness: qualitative only
Context Integration Failure: qualitative only
Hallucinations and False Positives: qualitative only
False-Positive Secret Detection: qualitative only
Localization Failure: Vulnerability Detection Accuracy
Technical Output Failure: qualitative only
Prompt Injection and Untrusted Input Manipulation: qualitative only
Transformation Sensitivity: qualitative only
Attention Hijacking and Poisoning: qualitative only
Overconfidence and Calibration Failure: qualitative only
Weak Explainability: qualitative only
Training Data and Representation Bias: qualitative only
Benchmark Contamination (Real-World Gap): qualitative only
Complex Vulnerability Blind Spots: qualitative only
Secret Detection Blind Spots: qualitative only
Operational and Deployment Limits: qualitative only
Information and Secret Leakage in Model Outputs: qualitative only"
A Survey on the Role of LLMs in AI-Based Software Development: Augmentation and Latent Risks;Md Bajlur Rashid, Mohammad Shafayet Jamil Hossain, Mohammad Ishtiaque Khan, Sharaban Tahora, Aiasha Siddika, Mahmudul Islam Prakash, Sharmin Yeasmin, Hossain Shahriar;2025;"- Recall: LLMs outperform static tools in recall.
- Precision: Specialized models like CodeGemma show unstable precision.
- Attack Success Rate (ASR): Copilot-Jailbreaks attack reached 99.4%.
- Percentage of insecure outputs: 25-40% for GitHub Copilot, 24.5% for Copilot-generated Javascript snippets, 10.3% for GPT-4.0.
- Patching success rates: Below 30% for VulnLLMEval and CVE-Bench.
- Data leakage: 2-8% of outputs leak sensitive data.
- False positive rates: High false positive rates in benchmarks like Diver-seVul.";"- Technical Output Failure
- Information and Secret Leakage in Model Outputs
- Prompt Injection and Untrusted Input Manipulation
- Training Data and Representation Bias
- Hallucinations and False Positives
- Operational and Deployment Limits";"Reasoning and Logic Blindness: qualitative only
Context Integration Failure: qualitative only
Hallucinations and False Positives: False Positives, Precision, False Positive Rate
False-Positive Secret Detection: qualitative only
Localization Failure: qualitative only
Technical Output Failure: Recall in Vulnerability Detection, Patch Quality
Prompt Injection and Untrusted Input Manipulation: Attack Success Rate, Block Rate
Transformation Sensitivity: qualitative only
Attention Hijacking and Poisoning: qualitative only
Overconfidence and Calibration Failure: qualitative only
Weak Explainability: qualitative only
Training Data and Representation Bias: qualitative only
Benchmark Contamination (Real-World Gap): qualitative only
Complex Vulnerability Blind Spots: qualitative only
Secret Detection Blind Spots: qualitative only
Operational and Deployment Limits: qualitative only
Information and Secret Leakage in Model Outputs: Data Leakage Rate"
AI-Powered Code Reviews: Leveraging Large Language Models;Md Shain Shahid Chowdhury, Md Naseef Ur Rahman Chowdhury, Fariha Ferdous Neha, Ahshanul Haque;2024;No explicit evaluation metrics reported.;"- Context Integration Failure
- Training Data and Representation Bias
- Prompt Injection and Untrusted Input Manipulation
- Overconfidence and Calibration Failure";"Context Integration Failure: qualitative only
Hallucinations and False Positives: qualitative only
False-Positive Secret Detection: qualitative only
Technical Output Failure: qualitative only
Prompt Injection and Untrusted Input Manipulation: qualitative only
Training Data and Representation Bias: qualitative only
Information and Secret Leakage in Model Outputs: qualitative only"
Large Language Models as Robust Data Generators in Software Analytics: Are We There Yet?;Md. Abdul Awal, Mrigank Rochan, Chanchal K. Roy;2024;No explicit evaluation metrics reported (the abstract mentions robustness evaluation and similarity metrics but does not specify traditional metrics like Precision, Recall, F1, etc.);"- Prompt Injection and Untrusted Input Manipulation
- Training Data and Representation Bias
- Operational and Deployment Limits";Prompt Injection and Untrusted Input Manipulation: Adversarial Attack Success Rate, Similarity Metrics
Towards Verified Code Reasoning by LLMs;Meghana Sistla, Gogul Balakrishnan, Pat Rondon, José Cambronero, Michele Tufano, Satish Chandra;2025;"- Validation rate for uninitialized variable errors: 13/20
- Validation rate for program equivalence queries: 9/20
- Hallucination rate: 40%
- Verifier's catch rate for hallucinations: 75%";"- Hallucinations and False Positives
- Context Integration Failure
- Reasoning and Logic Blindness
- Weak Explainability";"Reasoning and Logic Blindness: Verification Condition for MSAN bugs, Verification Condition for Program Equivalence
Hallucinations and False Positives: Percentage of examples where the agent does not hallucinate and the verifier validates the result, Percentage of hallucinations caught by the verifier"
ChatGPT for Vulnerability Detection, Classification, and Repair: How Far Are We?;Michael Fu, Chakkrit Kla Tantithamthavorn, Van Nguyen, Trung Le;2023;"- F1-measure (function-level vulnerability prediction)
- Precision (function-level vulnerability prediction)
- Recall (function-level vulnerability prediction)
- Top-10 accuracy (line-level vulnerability prediction)
- Multiclass accuracy (vulnerability classification)
- Mean Squared Error (MSE) (severity estimation)
- Mean Absolute Error (MAE) (severity estimation)
- Percentage of perfect prediction (%PP) (vulnerability repair)
- BLEU score (vulnerability repair)
- METEOR score (vulnerability repair)";"- Reasoning and Logic Blindness
- Context Integration Failure
- Technical Output Failure
- Training Data and Representation Bias
- Operational and Deployment Limits";"- Hallucinations and False Positives: Accuracy of identifying CWE-IDs
- Context Integration Failure: Accuracy of identifying CWE-IDs
- Technical Output Failure: Percentage of correct repair patches
- Reasoning and Logic Blindness: qualitative only"
